,Scope,Level,Level.1,Level.2,Level.3,Column Text,Unit,GHG,GHG Emission factor
227,2,Electricity used,Electricity used,Annual Average,2018,Electricity used,kWh,N2O,0.000139147
228,2,Electricity used,Electricity used,Annual Average,2017,Electricity used,kWh,CO2e,0.112539179
229,2,Electricity used,Electricity used,Annual Average,2017,Electricity used,kWh,CO2,0.108043238
230,2,Electricity used,Electricity used,Annual Average,2017,Electricity used,kWh,CH4,0.004393606
231,2,Electricity used,Electricity used,Annual Average,2017,Electricity used,kWh,N2O,0.000102335
232,2,Electricity used,Electricity used,Annual Average,2016,Electricity used,kWh,CO2e,0.09788276
233,2,Electricity used,Electricity used,Annual Average,2016,Electricity used,kWh,CO2,0.093421576
234,2,Electricity used,Electricity used,Annual Average,2016,Electricity used,kWh,CH4,0.004375251
235,2,Electricity used,Electricity used,Annual Average,2016,Electricity used,kWh,N2O,8.59e-05
236,2,Electricity used,Electricity used,Annual Average,2015,Electricity used,kWh,CO2e,0.121112115
237,2,Electricity used,Electricity used,Annual Average,2015,Electricity used,kWh,CO2,0.116553019
238,2,Electricity used,Electricity used,Annual Average,2015,Electricity used,kWh,CH4,0.004395208
239,2,Electricity used,Electricity used,Annual Average,2015,Electricity used,kWh,N2O,0.000163888
240,2,Electricity used,Electricity used,Annual Average,2014,Electricity used,kWh,CO2e,0.126564868
241,2,Electricity used,Electricity used,Annual Average,2014,Electricity used,kWh,CO2,0.122194499
242,2,Electricity used,Electricity used,Annual Average,2014,Electricity used,kWh,CH4,0.004190322
243,2,Electricity used,Electricity used,Annual Average,2014,Electricity used,kWh,N2O,0.000180048
244,2,Electricity used,Electricity used,Annual Average,2013,Electricity used,kWh,CO2e,0.15078594
245,2,Electricity used,Electricity used,Annual Average,2013,Electricity used,kWh,CO2,0.146661891
246,2,Electricity used,Electricity used,Annual Average,2013,Electricity used,kWh,CH4,0.003888191
247,2,Electricity used,Electricity used,Annual Average,2013,Electricity used,kWh,N2O,0.000235858
248,2,Electricity used,Electricity used,Annual Average,2012,Electricity used,kWh,CO2e,0.180164843
249,2,Electricity used,Electricity used,Annual Average,2012,Electricity used,kWh,CO2,0.176090577
250,2,Electricity used,Electricity used,Annual Average,2012,Electricity used,kWh,CH4,0.003713605
251,2,Electricity used,Electricity used,Annual Average,2012,Electricity used,kWh,N2O,0.00036066
252,2,Electricity used,Electricity used,Annual Average,2011,Electricity used,kWh,CO2e,0.143337245
253,2,Electricity used,Electricity used,Annual Average,2011,Electricity used,kWh,CO2,0.139621429
254,2,Electricity used,Electricity used,Annual Average,2011,Electricity used,kWh,CH4,0.003497093
255,2,Electricity used,Electricity used,Annual Average,2011,Electricity used,kWh,N2O,0.000218723
256,2,Electricity used,Electricity used,Annual Average,2010,Electricity used,kWh,CO2e,0.154715964
257,2,Electricity used,Electricity used,Annual Average,2010,Electricity used,kWh,CO2,0.151119739
258,2,Electricity used,Electricity used,Annual Average,2010,Electricity used,kWh,CH4,0.003397993
259,2,Electricity used,Electricity used,Annual Average,2010,Electricity used,kWh,N2O,0.000198233
260,2,Electricity used,Electricity used,Calendar Quarter,44166,Electricity used,kWh,CO2e,0.0873874816414549
261,2,Electricity used,Electricity used,Calendar Quarter,44166,Electricity used,kWh,CO2,0.0872729042324364
262,2,Electricity used,Electricity used,Calendar Quarter,44166,Electricity used,kWh,CH4,0.00011392110542893615
263,2,Electricity used,Electricity used,Calendar Quarter,44166,Electricity used,kWh,N2O,6.563035895701607e-07
264,2,Electricity used,Electricity used,Calendar Quarter,44075,Electricity used,kWh,CO2e,0.13474772554886172
265,2,Electricity used,Electricity used,Calendar Quarter,44075,Electricity used,kWh,CO2,0.1346531184650363
